startTime,endTime,day_night_max_duration,day_night_avg_duration,day_max_duration,day_avg_duration,night_max_duration,night_avg_duration,day_trip_count,night_trip_count,all_trip_count,Motion-Toilet,Motion-Sink,Motion-Area,Wake-Up-Hr,Wake-Up-Minute,Sleep-Hr,Sleep-Minute,Date,UTILabel
2018-01-28 03:11:54.300307,2018-01-28 21:57:40.487700,8.35,2.7380952380952377,8.35,2.7380952380952377,,,7,0,7,30,26,76,8,59,22,1,2018-01-28,0
2018-01-29 01:31:44.025149,2018-01-29 23:51:49.572851,6.233333333333333,2.583333333333333,6.233333333333333,2.583333333333333,,,3,0,3,21,27,42,7,43,21,5,2018-01-29,0
2018-01-30 07:22:07.586224,2018-01-30 23:19:04.016024,6.35,4.175,6.35,4.175,,,2,0,2,22,24,51,8,23,22,18,2018-01-30,0
2018-01-31 03:00:38.710553,2018-01-31 22:08:34.981931,4.983333333333333,2.8000000000000003,4.983333333333333,2.8000000000000003,,,3,0,3,17,20,44,7,50,21,7,2018-01-31,0
2018-02-01 02:35:46.146078,2018-02-01 22:25:25.728285,15.783333333333331,4.069696969696969,7.3,2.898333333333333,15.783333333333331,15.783333333333331,10,1,11,48,41,102,7,54,21,57,2018-02-01,0
2018-02-02 01:16:32.477400,2018-02-02 21:37:33.536780,11.916666666666666,4.286666666666667,11.916666666666666,4.286666666666667,,,5,0,5,39,55,90,8,15,21,3,2018-02-02,0
2018-02-03 00:46:12.423405,2018-02-03 22:20:25.658111,16.216666666666665,3.7203703703703694,16.216666666666665,3.7203703703703694,,,9,0,9,50,59,109,6,15,21,41,2018-02-03,0
2018-02-04 01:51:50.423803,2018-02-04 22:05:41.859901,6.716666666666667,3.8833333333333337,6.716666666666667,3.8833333333333337,,,5,0,5,32,29,91,7,20,21,28,2018-02-04,0
2018-02-05 00:55:06.091470,2018-02-05 22:04:05.388861,10.533333333333331,4.390476190476191,10.533333333333331,4.390476190476191,,,7,0,7,56,48,125,8,0,21,32,2018-02-05,0
2018-02-06 01:44:23.173213,2018-02-06 22:07:10.485393,18.383333333333333,6.3,18.383333333333333,6.3,,,4,0,4,41,26,116,7,17,22,6,2018-02-06,1
2018-02-07 05:19:08.928137,2018-02-07 22:28:16.125854,6.5,2.240740740740741,6.5,2.240740740740741,,,9,0,9,71,55,116,5,20,21,56,2018-02-07,0
2018-02-08 01:48:45.183788,2018-02-08 22:23:35.036029,6.816666666666666,1.30625,6.816666666666666,1.30625,,,16,0,16,46,44,72,7,56,21,39,2018-02-08,1
2018-02-09 01:07:31.673715,2018-02-09 21:36:33.853472,8.766666666666667,3.410416666666667,8.766666666666667,3.410416666666667,,,8,0,8,64,48,117,7,34,21,1,2018-02-09,0
2018-02-10 01:12:46.383697,2018-02-10 23:00:52.196109,18.9,2.71,18.9,2.71,,,15,0,15,48,68,150,5,14,22,25,2018-02-10,0
2018-02-11 00:58:21.685937,2018-02-11 23:22:39.637,19.2,4.2407407407407405,19.2,4.2407407407407405,,,9,0,9,120,56,219,8,38,21,36,2018-02-11,0
2018-02-12 01:50:53.364495,2018-02-12 22:01:25.753613,11.55,3.995833333333333,11.55,3.995833333333333,,,8,0,8,107,55,167,7,34,21,32,2018-02-12,0
2018-02-13 02:25:40.005379,2018-02-13 22:39:03.449943,33.95,4.955555555555556,33.95,4.955555555555556,,,12,0,12,171,85,308,7,34,21,26,2018-02-13,1
2018-02-14 01:47:13.063128,2018-02-14 21:52:18.933800,9.466666666666669,3.125,9.466666666666669,3.125,,,16,0,16,153,71,192,7,7,21,11,2018-02-14,0
2018-02-15 00:12:52.967692,2018-02-15 22:20:06.981866,9.166666666666666,2.021428571428572,9.166666666666666,2.021428571428572,,,7,0,7,45,30,69,7,24,21,46,2018-02-15,0
2018-02-16 00:50:39.766232,2018-02-16 22:56:36.719715,8.266666666666667,8.266666666666667,8.266666666666667,8.266666666666667,,,1,0,1,23,27,57,6,59,21,32,2018-02-16,0
2018-02-17 00:35:23.820033,2018-02-17 22:08:13.460207,5.583333333333333,2.191666666666667,5.583333333333333,2.191666666666667,,,6,0,6,40,34,57,7,54,21,33,2018-02-17,0
2018-02-18 01:20:58.822767,2018-02-18 23:32:16.409219,16.933333333333334,11.491666666666667,16.933333333333334,11.491666666666667,,,2,0,2,78,48,135,8,29,21,38,2018-02-18,1
2018-02-19 01:02:13.800126,2018-02-19 21:40:33.089717,58.46666666666667,9.829629629629627,11.35,3.75,58.46666666666667,58.46666666666667,8,1,9,50,52,117,6,48,20,59,2018-02-19,1
2018-02-20 02:00:41.599279,2018-02-20 22:48:31.890485,9.533333333333331,3.423809523809524,9.533333333333331,3.423809523809524,,,7,0,7,34,48,99,7,30,22,16,2018-02-20,0
2018-02-21 03:04:11.610331,2018-02-21 21:58:05.489401,5.85,1.6507575757575756,5.85,1.6507575757575756,,,22,0,22,55,47,153,8,24,21,24,2018-02-21,0
2018-02-22 00:19:05.175462,2018-02-22 23:03:38.785895,11.016666666666667,3.2809523809523813,11.016666666666667,3.2809523809523813,,,14,0,14,101,107,230,7,17,21,41,2018-02-22,0
2018-02-23 02:33:38.034751,2018-02-23 21:55:29.341874,26.183333333333334,7.25,26.183333333333334,7.25,,,7,0,7,107,71,208,8,28,21,58,2018-02-23,0
2018-02-24 00:50:24.558482,2018-02-24 21:58:26.847641,24.383333333333333,5.152380952380952,24.383333333333333,5.152380952380952,,,7,0,7,117,59,198,7,6,21,11,2018-02-24,0
2018-02-25 02:07:27.049228,2018-02-25 23:32:01.908460,9.266666666666667,1.930555555555556,9.266666666666667,1.930555555555556,,,12,0,12,41,32,93,7,27,21,55,2018-02-25,0
2018-02-26 01:53:26.332936,2018-02-26 23:03:16.861195,10.55,4.322222222222222,10.55,4.322222222222222,,,6,0,6,39,42,77,6,12,21,13,2018-02-26,0
2018-02-27 01:50:57.389841,2018-02-27 23:36:02.569311,8.183333333333334,3.433333333333333,8.183333333333334,3.433333333333333,,,13,0,13,117,81,208,8,12,22,8,2018-02-27,0
2018-02-28 01:54:43.093498,2018-02-28 22:12:33.198193,17.216666666666665,14.566666666666666,17.216666666666665,14.566666666666666,,,2,0,2,38,45,83,7,21,21,53,2018-02-28,0
2018-03-01 01:35:36.857127,2018-03-01 23:19:07.766829,6.916666666666667,1.798611111111111,6.916666666666667,1.798611111111111,,,12,0,12,53,45,96,8,47,22,3,2018-03-01,0
2018-03-02 02:41:55.751220,2018-03-02 22:12:47.228317,9.783333333333331,2.1435897435897435,9.783333333333331,2.1435897435897435,,,13,0,13,48,77,128,7,27,21,6,2018-03-02,0
2018-03-03 00:47:42.827444,2018-03-03 23:47:38.150827,20.75,3.676388888888889,20.75,3.676388888888889,,,12,0,12,114,88,271,7,3,21,43,2018-03-03,0
2018-03-04 00:04:26.552478,2018-03-04 21:58:52.968067,173.43333333333334,38.22666666666667,173.43333333333334,38.22666666666667,,,5,0,5,47,46,112,7,17,21,28,2018-03-04,0
2018-03-05 01:47:05.537926,2018-03-05 22:07:30.242721,12.6,3.725925925925926,12.6,3.725925925925926,,,9,0,9,79,88,170,7,3,21,31,2018-03-05,0
2018-03-06 00:55:58.366726,2018-03-06 21:53:33.337639,7.616666666666666,2.1,7.616666666666666,2.1,,,8,0,8,33,35,84,5,50,21,56,2018-03-06,0
