startTime,endTime,day_night_max_duration,day_night_avg_duration,day_max_duration,day_avg_duration,night_max_duration,night_avg_duration,day_trip_count,night_trip_count,all_trip_count,Motion-Toilet,Motion-Sink,Motion-Area,Wake-Up-Hr,Wake-Up-Minute,Sleep-Hr,Sleep-Minute,Date,UTILabel
2017-10-01 07:43:05.909661,2017-10-01 22:29:09.182226,0.8,0.6333333333333333,0.8,0.6333333333333333,,,2,0,2,0,6,0,7,44,21,0,2017-10-01,0
2017-10-02 05:38:38.804277,2017-10-02 21:37:09.924719,2.9833333333333334,1.25,2.9833333333333334,1.25,,,4,0,4,9,26,0,7,45,21,0,2017-10-02,0
2017-10-03 04:38:21.118047,2017-10-03 21:59:13.436726,14.55,9.575,14.55,9.575,,,2,0,2,10,3,0,4,39,22,4,2017-10-03,0
2017-10-04 08:31:18.841978,2017-10-04 21:30:51.412497,15.433333333333334,6.2375,15.433333333333334,6.2375,,,4,0,4,77,33,0,8,32,21,0,2017-10-04,0
2017-10-05 08:09:46.763214,2017-10-05 21:20:45.004647,2.466666666666667,1.0203703703703704,2.466666666666667,1.0203703703703704,,,9,0,9,8,25,0,8,10,21,0,2017-10-05,0
2017-10-06 07:06:25.879338,2017-10-06 21:54:52.996838,2.9,1.5666666666666669,2.9,1.5666666666666669,,,5,0,5,22,11,0,8,19,21,0,2017-10-06,0
2017-10-07 01:27:27.375169,2017-10-07 21:23:28.068854,3.066666666666667,1.8733333333333333,3.066666666666667,1.8733333333333333,,,5,0,5,16,17,0,1,28,21,0,2017-10-07,0
2017-10-08 08:38:29.592783,2017-10-08 22:01:37.287697,1.05,0.64,0.4,0.3666666666666667,1.05,0.8222222222222223,2,3,5,3,7,0,8,39,21,0,2017-10-08,0
2017-10-09 08:07:33.246505,2017-10-09 23:27:37.653723,2.783333333333333,1.5416666666666667,2.783333333333333,1.5416666666666667,,,4,0,4,8,28,0,8,8,21,0,2017-10-09,0
2017-10-10 01:58:53.141153,2017-10-10 21:51:08.079190,3.65,1.5266666666666666,3.65,1.5266666666666666,,,5,0,5,5,27,0,2,0,21,55,2017-10-10,0
2017-10-11 06:55:47.752099,2017-10-11 23:36:34.427025,5.3,2.6777777777777776,5.3,2.6777777777777776,,,3,0,3,10,16,0,6,57,21,0,2017-10-11,0
2017-10-12 07:17:09.051115,2017-10-12 21:28:02.940222,2.7333333333333334,0.8800000000000001,2.7333333333333334,0.8800000000000001,,,5,0,5,5,28,0,7,18,21,27,2017-10-12,0
2017-10-13 08:24:50.317785,2017-10-13 23:04:21.011990,4.883333333333334,2.836666666666667,4.883333333333334,2.836666666666667,,,5,0,5,47,37,18,8,26,22,36,2017-10-13,0
2017-10-14 00:53:54.890392,2017-10-14 23:25:35.945554,11.533333333333331,2.208333333333333,11.533333333333331,2.208333333333333,,,14,0,14,47,43,109,8,45,23,9,2017-10-14,0
2017-10-15 00:24:41.800878,2017-10-15 23:40:33.910547,2.9166666666666665,2.4166666666666665,2.9166666666666665,2.4166666666666665,,,2,0,2,11,19,18,6,10,22,24,2017-10-15,0
2017-10-16 00:28:21.943792,2017-10-16 21:46:35.026969,4.866666666666666,1.1133333333333333,4.866666666666666,1.1133333333333333,,,15,0,15,27,34,68,9,26,21,18,2017-10-16,0
2017-10-17 00:01:09.106781,2017-10-17 21:07:04.150384,8.516666666666667,2.3690476190476195,8.516666666666667,2.3690476190476195,,,7,0,7,41,49,92,8,24,21,8,2017-10-17,0
2017-10-18 00:36:33.596385,2017-10-18 21:16:39.141508,3.566666666666667,2.2666666666666666,3.566666666666667,2.2666666666666666,,,6,0,6,20,52,52,7,31,21,19,2017-10-18,0
2017-10-19 00:03:26.858537,2017-10-19 23:59:39.312397,6.85,2.469444444444445,6.85,2.469444444444445,,,6,0,6,34,41,80,8,41,21,22,2017-10-19,0
2017-10-20 00:26:17.861715,2017-10-20 22:11:42.786290,19.58333333333333,4.718333333333333,19.58333333333333,4.718333333333333,,,10,0,10,53,77,107,7,50,21,46,2017-10-20,0
2017-10-21 00:14:34.659090,2017-10-21 23:58:33.978976,7.583333333333333,4.644444444444445,7.583333333333333,4.644444444444445,,,3,0,3,18,12,54,7,41,20,54,2017-10-21,0
2017-10-22 00:00:02.467222,2017-10-22 23:41:46.042877,3.966666666666667,1.2857142857142858,3.966666666666667,1.2857142857142858,,,7,0,7,5,36,56,7,42,21,16,2017-10-22,0
2017-10-23 00:33:00.791132,2017-10-23 21:39:36.660182,12.4,4.825,12.4,4.825,,,4,0,4,19,88,113,8,24,21,40,2017-10-23,0
2017-10-24 00:41:48.074229,2017-10-24 22:16:24.373982,4.033333333333333,2.25,4.033333333333333,2.25,,,5,0,5,15,28,43,7,35,21,53,2017-10-24,0
2017-10-25 00:14:36.463603,2017-10-25 23:51:23.294147,5.733333333333333,2.625,5.733333333333333,2.625,,,8,0,8,36,38,81,8,12,21,8,2017-10-25,0
2017-10-26 02:07:26.120451,2017-10-26 23:48:30.054366,2.316666666666667,1.106666666666667,2.316666666666667,1.106666666666667,,,5,0,5,10,21,28,6,41,20,50,2017-10-26,0
2017-10-27 00:02:07.753783,2017-10-27 22:16:19.278779,12.483333333333333,2.9375,12.483333333333333,2.9375,,,8,0,8,71,46,127,8,0,22,19,2017-10-27,0
2017-10-28 01:15:44.029266,2017-10-28 22:43:12.763341,10.8,3.020833333333333,10.8,3.020833333333333,,,8,0,8,27,56,135,5,45,21,14,2017-10-28,0
2017-10-29 01:19:43.213722,2017-10-29 22:28:37.105010,25.216666666666665,18.441666666666663,25.216666666666665,18.441666666666663,,,2,0,2,101,39,144,8,37,21,15,2017-10-29,0
2017-10-30 00:53:10.907200,2017-10-30 22:10:49.065229,15.05,7.008333333333334,15.05,7.008333333333334,,,4,0,4,70,44,171,7,34,21,33,2017-10-30,0
2017-10-31 00:09:48.828171,2017-10-31 22:39:22.042206,2.966666666666667,1.5261904761904763,2.966666666666667,1.5261904761904763,,,7,0,7,22,37,57,7,40,22,1,2017-10-31,0
2017-11-01 04:04:56.225802,2017-11-01 21:23:47.321338,15.333333333333334,6.827777777777778,15.333333333333334,6.827777777777778,,,3,0,3,35,39,96,6,28,21,26,2017-11-01,0
2017-11-02 00:48:52.403551,2017-11-02 22:15:34.543589,9.533333333333331,1.812745098039216,9.533333333333331,1.812745098039216,,,17,0,17,43,62,114,7,15,21,46,2017-11-02,0
2017-11-03 02:09:51.768872,2017-11-03 22:15:42.584711,4.3,1.780952380952381,4.3,1.780952380952381,,,7,0,7,24,36,45,8,20,21,46,2017-11-03,0
2017-11-04 01:57:42.096241,2017-11-04 23:06:02.440215,23.25,5.215,23.25,4.805555555555555,8.9,8.9,9,1,10,135,73,208,9,8,21,0,2017-11-04,0
2017-11-05 02:43:43.971555,2017-11-05 22:43:42.803216,13.75,3.488888888888889,13.75,3.488888888888889,,,9,0,9,83,72,158,6,53,21,11,2017-11-05,0
2017-11-06 00:21:55.881493,2017-11-06 22:32:32.276205,9.516666666666667,4.555555555555556,9.516666666666667,4.555555555555556,,,3,0,3,31,35,80,8,28,21,55,2017-11-06,0
2017-11-07 00:18:04.873691,2017-11-07 22:57:17.221400,6.266666666666667,1.9142857142857144,6.266666666666667,1.9142857142857144,,,7,0,7,31,38,86,8,1,22,7,2017-11-07,0
